source;target
need;flight
need;change
another;airline
flight;today
flight;need
flight;great
flight;flying
flight;thanks
flight;lax
flight;sfo
flight;gt
flight;flights
flight;time
flight;la
flight;check
flight;cancelled
flight;booking
flight;problems
flight;jfk
great;service
u;help
thanks;flight
thanks;customer
thanks;service
thanks;taking
thanks;care
first;flight
first;class
virgin;america
help;flights
love;guys
status;match
weeks;ago
ca;get
start;flying
flights;dallas
best;customer
best;service
book;flight
dallas;austin
website;seems
julie;andrews
let;know
check;bag
trying;flight
trying;book
trying;check
customer;ever
customer;service
delayed;due
late;flight
cancelled;flight
cancelled;flights
cancelled;flightled
booking;problems
problems;flight
flightled;flight
looks;like
waiting;flight
go;back
looking;forward
forward;flight
gate;flight
cabin;select
atlantic;ploughs
atlantic;lone
atlantic;furrow
ploughs;lone
ploughs;furrow
ploughs;middleeast
lone;furrow
lone;middleeast
furrow;middleeast
